label,text
0,offence boat still mom check yo half naked
1,bank granite issue strongbuy explosive pick member national association security dealer automated quotation symbol cdgt per
0,giving second chance rahul dengra
0,ounce played smash bros religiously
1,private account statement show unredeemed point call identifier code expires
0,grin say never answer text confirmdeny
1,lost pound help
0,okey dokey binary digit sorting stuff
0,come people
0,working home lucky man save money hee
0,much better thanks laughing loud
0,madamregret disturbance might receive reference check dlf premarica kindly informed rgdsrakheshkerala
0,coming home dinner
0,ok
0,decide faster sister going home liao
0,hello friend recreational vehicle hav national institute clinical excellence hol message say hello sent age started driving stay roadsrvx
0,amazing rearrange letter give meaning dormitory equal dirty room astronomer equal moon starer eye equal see election result equal lie let recount motherinlaw equal woman hitler eleven plus two twelve plus one love amazing
0,good morning please call sir
0,ok actually guy meet sunoco howard right
0,new theory argument win situation loses person dont argue friend kick amp say always correct
0,half yeah diet flew window
0,watching cartoon listening music amp eve go temple amp church u
0,india win level series mean record
0,armand say get as epsilon
0,tell said eat shit
0,oh phone phoned disconnected
1,please call customer service representative freephone ampm guaranteed cash prize
0,hello hi sweet wondering moment might come want send file someone wont go yob lout connection suck remember division gang page go download format disc could tell know download great file download stuff directly internet help would great prey silence teasing kiss
0,purity friendship two smiling reading forwarded message smiling seeing name good evng
1,heard u call night knickers make big evil grin like last time kiss love nikiyu net
0,place man
0,well apparently retired
0,haha offence money leh later got go tuition haha looking empty slot driving lesson
0,aiyar hard type later free tell call scold tell u
0,ok call close
0,missed period still early mah whatever go dinner lor cantonese expression exasperation dunno
0,yes paragon havent decided whether see tomorrow yet hee
0,watching tv got new job
1,private account statement show unredeemed bonus point claim call identifier code expires
0,great run ttyl
0,hello love go day wish fine babe hope find job prospect miss boytoy silence teasing kiss
0,zoe hit fucking shitin love definitely try hardest cum morow love million lekdog
0,text cup stop work bus
0,congratulation ore modus operandi owo regarding wa enjoy wish many happy moment afro hairstyle wherever go
0,good morning suffering fever dysentry able come office today
0,tell pa pain de
0,got seventeen pound seven hundred much love hope ok
0,know complain tasty bettr directly go bsnl offc apply
0,kate jackson recreation center ish right
0,k k congratulation
0,whatsup dont want sleep
1,lost help
0,japanese proverb one love none itu must indian version one love let none itleave finally kerala version one love stop none make strike silence
0,search happiness main source unhappiness accept life come find happiness every moment live
0,ok
0,faith make thing possiblehope make thing worklove make thing beautifulmay three christmasmerry christmas
0,ok see ya
0,class used man express interest woman later
1,buy space invader chance win orig arcade game console press game arcade standard wireless access point charge see co ukgames term setting offence purchase
0,house water dock bust another thousand robbed newscaster dabbles jazz flute behind chat
0,half baby house come dont new picture facebook
0,thx month
0,good mrng drop everything read national institute clinical excellence day
0,yes wanted scold yest missed period already got zhong special edition qing ask ask go w lor still sat type test real
0,say slowly godi love amp need youclean heart blood send person perfect body special people amp see miracle tomorrow itplspls
0,yes princess want catch great strong hand
0,wait know wesley town black entertainment television hell yeah drug
0,offence problem renewal right away dont know detail
0,part dont initiate understand
0,moon come color dream star make musical short message service give warm peaceful sleep good night
0,stand away doesnt heart ache without wonder crave
1,urgent important information user today lucky day find log onto fantastic surprise awaiting
0,australia guy kind unreliable one love friend interested picking dollar worth tonight possible
0,waiting machan call free
0,honeybee said im sweetest world god laughed amp said waitu havnt met person reading msg moral even god form cocaine joke gmgngegn
0,flatulence station go
0,yes ammae life take lot turn stay touch try borrow money steering
0,hmm shall bring bottle wine keep united state amused joking still bring bottle red white see tomorrow
0,sorry missed babe missed period slept hope enjoy driving lesson boytoy miss silence teasing kiss
0,ok thanx gangsta disciple good night
1,offence polyphonic tone mob every week message pt tone free get txtin tell friend ptone reply half life game info
0,nothing really making sure everybodys speed
0,wish holding tightly making see important much cool silence much need silence life silence
0,laughing loud would mom would good lokking tell whole family crazy terrible
0,good well find
0,cool thank love v tired doin load planning wk whatever got social service inspection nursery take care spk screen name x
0,sorry light turned green meant another friend wanted worth may around
0,pas united nation buen tiempo something like
0,watching telugu movie wat u
0,married man ask come enough
1,winner valued two connected computer customer selected receive prize reward claim call claim computer program kl valid hour
0,yes lor keep raining never stop newb go elsewhere
0,otherwise part time job natuition
0,good word word may leave dismay many time
0,oooh bed ridden ey thinking
0,oclock mine bash flat plan
1,gsoh good unsolicted email ladiesu could male gigolo join uk fastest growing men club reply oncall mjzgroup stop reply stop msg rcvd
0,gram usually run like half eighth smarter though get almost whole second gram
0,good thinking
0,one love day derogatory word crip running sea shore wave came cleared footprint crab derogatory word crip asked frnd clearing beautiful footprint wave replied sexy following footprint catch thats cleared frndsship never let dwn good nyt
0,know jus say go lido time
1,free msg get gnarl barkley crazy sound cell phone make receiving call totally free reply go message right
0,always saying welp
1,get official england polyamory sound cell phone make receiving call colour bandana mobile tonight game text tone bandana optout message eng stop box wwx
0,good mrng drop everything read hav national institute clinical excellence day
0,also thk fast xy suggest one love newb ok going rain leh got gd
0,fran decided go ecstasy completely broke knackered got see tomorrow love janx p dad fone credit
1,message free welcome new improved sex dogging club unsubscribe service reply stop msg
1,free week noone nokia tone mobile every week message nokia get txting tell mate pobox wwq normptone
0,cool like swimming pool jacuzzi house
0,course guess god got borrow money right
0,half getting even u u
0,who class
0,loosu go hospital dont let careless
0,k roommate also want dubsack another friend may also want plan bringing extra tell know sure
0,oh haha whatever shld went today gee nevermind la kaiez mind goin jazz oso scared hiphop open cant catch
0,happy babe woo hoo party dude
0,allo whatever braved bus taken train triumphed cool b ham jolly good rest week
0,tell offence need investigate anywhere
1,urgent please call abta complimentary spanish holiday cash await collection stamped tc box po easy ppm
0,call kidding said call
1,urgent mobile awarded bonus caller prize final try contact u call landline boxwrc ppm
0,miss call miss call khelate kintu opponenter miss call dhorte lage thats rule one love great phone receiving quality win
0,wife knew time murder exactly
0,lunch alone bored
0,true lov care wil nevr go unrecognized though somone often make mistake valuing definitly undrstnd start missing
0,thought whatever king hill thing
0,thk got go home urself going shopping frens present
0,studying free next weekend
0,love try budget money better babe gary would freak knew
0,ok
0,genius whats brother please send number skype
1,want get laid tonight want real dogging location sent direct mob join uk largest dogging two connected computer bittorrent txting gravel nt eca p msg
0,wishing family merry x mildly amused smirk happy new year advance
0,fujitsu series lifebook good
0,friendship poem drop everything read ounce drop everything read near hear dont get fear exciting cheer offence tear always dear good ni
0,haha yeah australia kind shitload
0,make girl happy difficult make girl happy need friend companion lover chef good listener organizer good boyfriend clean sympathetic athletic warm courageous determined true dependable intelligent psychologist pest exterminator psychiatrist healer stylist driver aaniye pudunga venaam
0,arun transfr alphamethyltryptamine
0,prabha im soryda realy frm heart sory
0,part checking intelligence quotient
0,nothing spl wat whr ru
0,yeah there quite binary digit left swing tomorrow get
0,look like found something smoke great job
0,babe got enough money pick money milk give back get home
0,askd question hour answer
1,today voda number ending selected receive award match please call quoting claim computer program course rate application computer program
0,dont pick call something important tell hrishi
1,text banneduk see cost p textoperator gga kiss
0,missing pray inshah allah
0,hello peach kilo cocaine tasts lush
0,guessin going
0,anyways go gym whatever love smile hope kidding good day babe silence miss much already
0,probably still going stuff
0,got call landline number asked come anna nagar go afternoon
0,name anyone ive seeing lot corvette lately
0,world suffers lot violence good people silence good people
1,drop everything read dave final notice collect tenerife holiday cash award call landline tc stamped box cwwx ppm
0,come back tampa ffffuuuuuuu
0,want please inside outside bedroom
0,hello hi pple night excellent location breakfast hamper
0,half send address
0,sorry cant take call right happens waxsto want come cool tight etc get medical insurance shell able deliver uncool care currently shopping right medical insurance give friday morning thats see major person guide right insurance
0,wake already picking united state later rite taking sq reaching alright something like dat check ecstasy arrival time see soon
0,farm open
0,speaking cash yet
0,make life stressfull always find time laugh may attention deficit disorder year life surely add life year good ni swt dream
0,laughing as kidding wont needing hair anymore
0,uncle atlanta wish guy great semester
0,ultimately tor motive tui achieve korli
0,please come imin town dontmatter urgoin outlr
0,moment dayhas beat valuemorning brings hopeafternoon brings faithevening brings luvnight brings restwish find today good morning
1,december mobile mths entitled update latest colour camera mobile free call mobile update commanding officer free
0,emailed yifeng part oredi get real
0,offence objection boyfriend coming
0,come home want miserable
1,congrats mobile third generation mobile phone network videophones call videochat mate play programming language game dload polyh music noline rentl bx ip pm
0,born god said oh another idiot born
1,dont prize go another customer tc pmin polo live suite london wj hl please call back busy
0,wen lovable bcums angry u take seriously angry childish true showing deep affection care luv kettoda manda national institute clinical excellence day da
0,yeah got list joanna feeling really social
0,see christmassy
0,ok head min see
1,tmobile customer may claim free camera phone upgrade pay go subscriber identity module amusing loyalty call offer end thfeb tc apply
0,guess useless calling something important
0,hello hi sexy bun day offence word morning yahoo messenger silence silence think
0,cant pick phone right please send message
1,hear new divorce barbie come ken stuff
0,thanks looking really appreciate
0,going join tomorrow
1,good luck cannabis take place feb good luck removal send stop customer service
0,say hello get as back south tampa preferably kegger
0,wine flowing nevering
0,cant think anyone indicating spelling correction spare room indicating spelling correction top head
1,good looking exciting fantasy call p per minute name tune ltd po box croydon cr wb national rate call
0,happened date
1,secret admirer reveal think special call opt reply reveal stop per message recd cust care
0,happen tell truth
0,nothing got message frm unknown
0,could see understood didt recognise face
1,air conditioning jsco energy high may know channel today leadership skill strong psychic reply answer wquestion end reply end jsco
0,say somebody named tampa
0,there offence cool tomorrow right
1,urgent mobile number awarded prize guaranteed call land line claim valid hr ppm
0,yes fine love safe
0,keep payasam rinu brings
0,need person give na
0,aiyah kidding already lar ecstasy nydc wheellock
1,nokia tone mob every week message okay tone free get txtin tell friend ptone reply half life game info
0,campus library
0,enjoy shower possessiveness poured loved one bcoz world lie golden gift loved truly
0,surly cool tight etc give coming review
1,lord ringsreturn king store nowreply lord ring june chance win lord ring soundtrack cd stdtxtrate reply stop end txts
0,please send comprehensive mail paying much
1,current leading bid pause auction send customer care
0,waking afternoon whats
0,let know youve got money carlos make call
1,contacted dating service someone know find call mobile landline poboxldns
0,k give kvb actually detail
0,ok many buy
0,offence call message missed call
0,yo parent gettin cash good news whatever picked downstem
1,drop everything read subscriber cannabis gift voucher entered receipt correct an elvis presley birthday message answer
0,took tablet reaction morning
0,sister got placed birla powdered cocaine da
0,keep seeing weird shit bein woah realising actually reasonable oh
0,please please send mail know relative coming deliver know cost risk benefit anything else thanks
0,use foreign stamp country good lecture
0,mom want know
0,early bird purchase yet
0,bring got
0,okie
0,hiya good day spoken since weekend
0,japanese proverb one love none itu must indian version one love let none itleave finally kerala version one love stop none make strike silence
0,half yeahand hav great time newquaysend postcard look girl gone know im talkin bout kiss
0,try something dear read something exam
0,k make sense way carlos difficult guy going smoke go pick second batch get flatulence
0,hello wats talk email address
0,reaching home min
0,though whatever shd go fun bar town something cool ok
0,okay chasing dream whats good next
0,sorry stil fucked last good night went tobed got work
0,wasnt available washob nobbing last night ask nickey platt instead
0,hello babe ok
0,life spend someone lifetime may meaningless moment spent someone really love mean life
0,top man wake since checked stuff saw true offence available space please call embassy send mail
0,home doctor gave pain medication say everything fine
0,sleeping going take haha got spy wat online checking replying mail lor
1,loan purpose homeowner tenant welcome previously refused whatever still help call free text back help
0,yeah give call youve got minute
0,lover need silence
0,know hows anthony bringing money school fee pay rent stuff like thats need help friend need
0,hoping would send message rent due dont enough reserve completely gone loan need hoping could balance could get till mid grade marijuana march hope pay back
0,please text anymore nothing else say
0,supervisor find one love lor thk student havent ask yet tell aft ask
0,goodmorning today missed period ltdecimalgt min
0,hi hope good day better night
0,think offence one love saying clearly kidding leave offence need ask go come
0,hmm well night night
1,going bahamas callfreefone speak exciting operator claim either bahamas cruise cash opt message kiss
0,justbeen overa week since whatever broke already brain going mush
0,dont thnk wrong calling united state
0,anyway many good evening u
0,come around ltdecimalgt pm vikky im otside nw love come time
1,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double min message orange call mobileupd calloptoutfq
0,call later afternoon onwords mtnl service get problem south mumbai hear cannt listen
0,bruce amp fowler mom car cant park long story
0,still playing gautham
0,offence message food
0,time want come
0,k give back thanks
1,england macedonia dont miss goalsteam news message national team example england trywales scotland txt poboxoxwwq
0,enjoy life good night
0,good evening talk later
0,take exam march
0,aiyah kidding long got improve already wat
0,whatever one love good partnership going whatever take lead
0,get message
0,call
0,tell headache want use hour awesome time
0,never try alone take weight tear come heart fall eye always remember stupid friend share bslvyl
0,raji pls favour please convey birthday wish nimya pls today birthday
0,time probably
0,hi kate lovely see tonight cool tight etc phone tomorrow got sing guy gave card xxx
0,usual iam fine happy amp well
0,watching tv home going bored
0,photoshop offence grown right
0,k incident
0,awake cocaine
0,good wondering wont say hello smiling coping long distance
0,intrepid unto others great time see soon
0,gobi art college
1,credit topped renewal personal identification number tgxxrz
0,thought put back box
