Label,clean_sentence
spam,bank granite issue bank computer device company stock association security dealer automated quotation symbol cdgt ।
spam,bank granite issue strongbuy granite pick member national association coastal force automated sign symbol 2...
spam,data statement results show unredeemed point 1 identifier statement set
spam,telephone account statement show common telephone call type use and
spam,lost pound and
spam,baby pound help
spam,telephone call customer and representative freephone access guaranteed cash subscription
spam,please call your service for freephone and guaranteed cash customer
spam,heard u call on why make my evil grin baby baby time kiss love nikiyu [UNK]
spam,bite u in night knickers make big brother grin like new time always love nikiyu kiss
spam,these account questions show that bonus cards claim call name when expires
spam,private account records show unredeemed note issued if check in code expires
spam,god help
spam,god help
spam,buy card invader ship purchase pass arcade game console dealer pass arcade standard wireless access point or charge co ukgames term setting offence for
spam,buy space invader chance or bet portable game console card game arcade name for access point listen up co ukgames term test offence purchase
spam,amazing social information user today lucky day let the onto fantastic surprise awaiting
spam,urgent important information user today this day in log info fantastic surprise 2012
spam,offence polyphonic tone mob every now pt pt tone 3 ride along tell n the reply half life game info
spam,rock polyphonic sex mob the week of bad tone free get txtin tell friend ptone reply half life 2 promo
spam,prize valued two connected computer customer selected online prize reward claim call order win program claim business hour
spam,application directory services connected computer customer services receive prize claim claim call claim computer program after valid hour
spam,no good unsolicted list is a male gigolo join uk women in men voice reply to mjzgroup text reply stop form rcvd
spam,gsoh good unsolicted email go live find users join it fastest growing men club reply per mjzgroup stop call get sent message
spam,yes msg get gnarl get crazy hold the phone make mine call totally mean no go message right
spam,short msg message gnarl show crazy error files please make receiving an totally free reply go message right
spam,get to england polyamory caused by or make receiving call use bandana mobile tonight voice text tone telephone voice message eng stop service calls
spam,wake up voice polyamory with effect on make receiving call colour tone mobile tonight game text tone bandana news message on video box wwx
spam,active search welcome new improved search dogging for unsubscribe service open alert msg
spam,message free welcome new the sex dogging website unsubscribe all accessible email me
spam,free week for open touch mobile every number message line nokia txting tell company pobox iphone normptone
spam,free from noone nokia single message every week message check get txting her mate keep me beat
spam,when please call abta complimentary about holiday please await collection for tc box at 5 ppm
spam,urgent please call such a spanish holiday food await collection stamped cash box po box go
spam,urgent mobile refer to caller if final voice contact location call landline boxwrc website
spam,star mobile 2 top caller prize final try with u live landline call ppm
spam,has u laid tonight want not dogging location me get mob join uk fake blog site connected to bittorrent txting gravel nt eca for msg
spam,want actual money tonight want real money if sent direct mob computer uk in dogging two connected computer development companies microsoft nt eca me msg
spam,today voda phone ending selected receive award match please see quoting claim computer application course of college computer website
spam,today voda was ending selected receive award and please call quoting claim update program course applications to computer configuration
spam,also banneduk see site of... gga kiss
spam,text on page below p textoperator gga ii
