Label,Data,clean,clean_sentence
spam,bank granite issue chain strongbuy explosive pick member national association to security force dealer automated map quotation symbol per cdgt by per,"['bank', 'granite', 'issue', 'chain', 'strongbuy', 'explosive', 'pick', 'member', 'national', 'association', 'security', 'force', 'dealer', 'automated', 'map', 'quotation', 'symbol', 'per', 'cdgt', 'per']",bank granite issue chain strongbuy explosive pick member national association security force dealer automated map quotation symbol per cdgt per
spam,bank granite field issue strongbuy explosive gun pick up member national bank association security stock dealer automated quotation symbol cdgt per per,"['bank', 'granite', 'field', 'issue', 'strongbuy', 'explosive', 'gun', 'pick', 'member', 'national', 'bank', 'association', 'security', 'stock', 'dealer', 'automated', 'quotation', 'symbol', 'cdgt', 'per', 'per']",bank granite field issue strongbuy explosive gun pick member national bank association security stock dealer automated quotation symbol cdgt per per
spam,private private account statement list show unredeemed access point telephone call user identifier user code expires,"['private', 'private', 'account', 'statement', 'list', 'show', 'unredeemed', 'access', 'point', 'telephone', 'call', 'user', 'identifier', 'user', 'code', 'expires']",private private account statement list show unredeemed access point telephone call user identifier user code expires
spam,uses private cell account statement to show unredeemed point for call identifier status code also expires,"['us', 'private', 'cell', 'account', 'statement', 'show', 'unredeemed', 'point', 'call', 'identifier', 'status', 'code', 'also', 'expires']",us private cell account statement show unredeemed point call identifier status code also expires
spam,lost all pound help,"['lost', 'pound', 'help']",lost pound help
spam,lost pound lost help,"['lost', 'pound', 'lost', 'help']",lost pound lost help
spam,please call customer assistance service representative to freephone ampm guaranteed round cash big prize,"['please', 'call', 'customer', 'assistance', 'service', 'representative', 'freephone', 'ampm', 'guaranteed', 'round', 'cash', 'big', 'prize']",please call customer assistance service representative freephone ampm guaranteed round cash big prize
spam,please call my customer the service delivery representative freephone ampm a guaranteed cash prize,"['please', 'call', 'customer', 'service', 'delivery', 'representative', 'freephone', 'ampm', 'guaranteed', 'cash', 'prize']",please call customer service delivery representative freephone ampm guaranteed cash prize
spam,u heard u call night knickers off make big evil grin just like last time a kiss you love nikiyu love net,"['u', 'heard', 'u', 'call', 'night', 'knickers', 'make', 'big', 'evil', 'grin', 'like', 'last', 'time', 'kiss', 'love', 'nikiyu', 'love', 'net']",u heard u call night knickers make big evil grin like last time kiss love nikiyu love net
spam,heard how u kiss call night knickers make big evil grin feel like last love time kiss big love nikiyu dot net,"['heard', 'u', 'kiss', 'call', 'night', 'knickers', 'make', 'big', 'evil', 'grin', 'feel', 'like', 'last', 'love', 'time', 'kiss', 'big', 'love', 'nikiyu', 'dot', 'net']",heard u kiss call night knickers make big evil grin feel like last love time kiss big love nikiyu dot net
