Label,Data,text_length,clean,clean_sentence,clean_sentence_length
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",20,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'great', 'world', 'cantonese', 'exclamation', 'ecstasy', 'buffet', 'cine', 'got', 'amore', 'wat']",go jurong point crazy available bugis great world cantonese exclamation ecstasy buffet cine got amore wat,16
ham,Ok lar... Joking wif u oni...,6,"['kidding', 'lar', 'joking', 'oni']",kidding lar joking oni,4
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,28,"['free', 'entry', 'weekly', 'competition', 'win', 'football', 'association', 'cup', 'final', 'ticket', 'may', 'text', 'football', 'association', 'receive', 'entry', 'question', 'standard', 'message', 'rate', 'term', 'condition', 'apply', 'over']",free entry weekly competition win football association cup final ticket may text football association receive entry question standard message rate term condition apply over,24
ham,U dun say so early hor... U c already then say...,11,"['say', 'early', 'hor', 'see', 'already', 'say']",say early hor see already say,6
ham,"Nah I don't think he goes to usf, he lives around here though",13,"['think', 'go', 'usf', 'life', 'around', 'though']",think go usf life around though,6
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",32,"['freemsg', 'hello', 'hi', 'darling', 'week', 'offence', 'word', 'back', 'id', 'like', 'fun', 'still', 'text', 'back', 'ok', 'kiss', 'standard', 'charge', 'send', 'rcv']",freemsg hello hi darling week offence word back id like fun still text back ok kiss standard charge send rcv,20
ham,Even my brother is not like to speak with me. They treat me like aids patent.,16,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'acquired', 'immune', 'deficiency', 'syndrome', 'patent']",even brother like speak treat like acquired immune deficiency syndrome patent,11
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'division', 'gang', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']",per request melle melle oru minnaminunginte nurungu vettam division gang callertune caller press copy friend callertune,16
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,26,"['winner', 'valued', 'two', 'connected', 'computer', 'customer', 'selected', 'receive', 'prize', 'reward', 'claim', 'call', 'claim', 'computer', 'program', 'kl', 'valid', 'hour']",winner valued two connected computer customer selected receive prize reward claim call claim computer program kl valid hour,18
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,29,"['mobile', 'month', 'entitled', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'commanding', 'officer', 'free']",mobile month entitled update latest colour mobile camera free call mobile update commanding officer free,15
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",21,"['going', 'home', 'soon', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'cried', 'enough', 'today']",going home soon want talk stuff anymore tonight k cried enough today,12
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",26,"['six', 'chance', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandcs', 'apply', 'reply', 'half', 'life', 'game', 'information']",six chance win cash pound txt csh send cost pday day tsandcs apply reply half life game information,18
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",26,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'message', 'word', 'claim', 'tc', 'lccltd', 'pobox', 'ldnwarw']",urgent week free membership prize jackpot message word claim tc lccltd pobox ldnwarw,13
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,37,"['searching', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'time']",searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,15
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,8,"['date', 'sunday']",date sunday,2
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",19,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wireless', 'access', 'point', 'link', 'next', 'message', 'message', 'click', 'xxxmobilemovieclub', 'comnqjkgighjjgcbl']",xxxmobilemovieclub use credit click wireless access point link next message message click xxxmobilemovieclub comnqjkgighjjgcbl,14
ham,Oh k...i'm watching here:),4,"['half', 'k', 'im', 'watching']",half k im watching,4
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,19,"['huh', 'remember', 'spell', 'name', 'yes', 'naughty', 'make', 'wet']",huh remember spell name yes naughty make wet,8
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,13,"['fine', 'feel', 'gota']",fine feel gota,3
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",24,"['england', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'message', 'national', 'team', 'example', 'england', 'trywales', 'scotland', 'txt', 'poboxoxwwq']",england macedonia dont miss goalsteam news message national team example england trywales scotland txt poboxoxwwq,15
ham,Is that seriously how you spell his name?,8,"['seriously', 'spell', 'name']",seriously spell name,3
ham,IÛ÷m going to try for 2 months ha ha only joking,11,"['going', 'try', 'month', 'sarcastic', 'laugh', 'sarcastic', 'laugh', 'joking']",going try month sarcastic laugh sarcastic laugh joking,8
ham,So Ì_ pay first lar... Then when is da stock comin...,11,"['pay', 'first', 'lar', 'district', 'attorney', 'stock', 'comin']",pay first lar district attorney stock comin,7
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,20,"['aft', 'finish', 'lunch', 'go', 'strength', 'lor', 'alright', 'something', 'lor', 'finish', 'lunch', 'already']",aft finish lunch go strength lor alright something lor finish lunch already,12
ham,Ffffffffff. Alright no way I can meet up with you sooner?,11,"['ffffffffff', 'alright', 'offence', 'meet', 'sooner']",ffffffffff alright offence meet sooner,5
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,28,"['forced', 'eat', 'slice', 'really', 'hungry', 'tho', 'suck', 'target', 'getting', 'worried', 'know', 'awesome', 'turn', 'pizza', 'laughing', 'loud']",forced eat slice really hungry tho suck target getting worried know awesome turn pizza laughing loud,16
ham,Lol your always so convincing.,5,"['laughing', 'loud', 'always', 'convincing']",laughing loud always convincing,4
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,32,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']",catch bus frying egg make tea eating mom left dinner feel love,12
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",15,"['back', 'amp', 'packing', 'car', 'let', 'know', 'there', 'room']",back amp packing car let know there room,8
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,12,"['ahhh', 'work', 'vaguely', 'remember', 'feel', 'like', 'laughing', 'loud']",ahhh work vaguely remember feel like laughing loud,8
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",26,"['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'kiss', 'doesnt', 'want', 'exciting', 'united', 'state']",wait thats still clear sure sarcastic thats kiss doesnt want exciting united state,13
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,42,"['yeah', 'got', 'apologetic', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'whatever', 'wont', 'go', 'badly', 'cheer']",yeah got apologetic fallen actin like spoilt child got caught till whatever wont go badly cheer,16
ham,K tell me anything about you.,6,"['ok', 'tell', 'anything']",ok tell anything,3
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,"['fear', 'fainting', 'housework', 'quick', 'cup', 'tea']",fear fainting housework quick cup tea,6
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,29,"['thanks', 'subscription', 'sound', 'cell', 'phone', 'make', 'receiving', 'call', 'ok', 'mobile', 'charged', 'month', 'please', 'confirm', 'replying', 'yes', 'reply', 'offence', 'charged']",thanks subscription sound cell phone make receiving call ok mobile charged month please confirm replying yes reply offence charged,19
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,28,"['yup', 'kidding', 'go', 'home', 'look', 'timing', 'message', 'xuhui', 'going', 'learn', 'may', 'lesson']",yup kidding go home look timing message xuhui going learn may lesson,12
ham,"Oops, I'll let you know when my roommate's done",9,"['oops', 'let', 'know', 'roommate', 'finished']",oops let know roommate finished,5
ham,I see the letter B on my car,8,"['see', 'letter', 'car']",see letter car,3
ham,Anything lor... U decide...,4,"['anything', 'lor', 'decide']",anything lor decide,3
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,30,"['hello', 'hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'trying', 'invite', 'anything']",hello hows saturday go texting see youd decided anything tomo trying invite anything,13
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,17,"['please', 'go', 'ahead', 'watt', 'wanted', 'sure', 'great', 'weekend', 'abiola']",please go ahead watt wanted sure great weekend abiola,9
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",34,"['forget', 'tell', 'want', 'need', 'crave', 'silence', 'silence', 'love', 'awesome', 'arabian', 'steed', 'silence', 'mmmmmm', 'silence', 'yummy']",forget tell want need crave silence silence love awesome arabian steed silence mmmmmm silence yummy,15
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,33,"['rodger', 'burn', 'message', 'equal', 'whatever', 'tried', 'call', 'regarding', 'reply', 'short', 'message', 'service', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']",rodger burn message equal whatever tried call regarding reply short message service free nokia mobile free camcorder please call delivery tomorrow,21
ham,WHO ARE YOU SEEING?,4,['seeing'],seeing,1
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,15,"['great', 'hope', 'like', 'man', 'endowed', 'inch']",great hope like man endowed inch,6
ham,No calls..messages..missed calls,3,"['offence', 'call', 'message', 'missed', 'call']",offence call message missed call,5
ham,Didn't you get hep b immunisation in nigeria.,8,"['didnt', 'get', 'hip', 'immunisation', 'nigeria']",didnt get hip immunisation nigeria,5
ham,"Fair enough, anything going on?",5,"['fair', 'enough', 'anything', 'going']",fair enough anything going,4
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",14,"['yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'binary', 'digit']",yeah hopefully tyler cant could maybe ask around binary digit,10
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,30,"['know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'target', 'weak', 'sucker', 'hospital', 'weak', 'sucker']",know stubborn didnt even want go hospital kept telling target weak sucker hospital weak sucker,15
ham,What you thinked about me. First time you saw me in class.,12,"['thinked', 'first', 'time', 'saw', 'class']",thinked first time saw class,5
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",25,"['gram', 'usually', 'run', 'like', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram']",gram usually run like half eighth smarter though get almost whole second gram,13
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,16,"['ok', 'information', 'kiss', 'ride', 'early', 'tomorrow', 'morning', 'he', 'crashing', 'place', 'tonight']",ok information kiss ride early tomorrow morning he crashing place tonight,11
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",55,"['wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'sorry', 'didnt', 'give', 'sorry', 'offered', 'sorry', 'room', 'embarassing']",wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry didnt give sorry offered sorry room embarassing,22
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,22,"['air', 'conditioning', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'diamond', 'hockey', 'correct', 'incorrect', 'end', 'reply', 'end', 'sptv']",air conditioning sptv new jersey devil detroit red wing play diamond hockey correct incorrect end reply end sptv,18
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,14,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']",know mallika sherawat yesterday find lturlgt,6
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",28,"['congrats', 'year', 'special', 'cinema', 'pas', 'call', 'see', 'suprman', 'v', 'matrix', 'starwars', 'et', 'cetera', 'free', 'bxipwe', 'pm', 'dont', 'miss']",congrats year special cinema pas call see suprman v matrix starwars et cetera free bxipwe pm dont miss,18
ham,"Sorry, I'll call later in meeting.",6,"['sorry', 'call', 'later', 'meeting']",sorry call later meeting,4
ham,Tell where you reached,4,"['tell', 'reached']",tell reached,2
ham,Yes..gauti and sehwag out of odi series.,7,"['yes', 'gauti', 'sehwag', 'odi', 'series']",yes gauti sehwag odi series,5
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,23,"['going', 'pick', 'burger', 'home', 'cant', 'even', 'move', 'pain', 'killing']",going pick burger home cant even move pain killing,9
ham,Ha ha ha good joke. Girls are situation seekers.,9,"['sarcastic', 'laugh', 'sarcastic', 'laugh', 'sarcastic', 'laugh', 'good', 'joke', 'girl', 'situation', 'seeker']",sarcastic laugh sarcastic laugh sarcastic laugh good joke girl situation seeker,11
ham,Its a part of checking IQ,6,"['part', 'checking', 'intelligence', 'quotient']",part checking intelligence quotient,4
ham,"Sorry my roommates took forever, it ok if I come by now?",12,"['sorry', 'roommate', 'took', 'forever', 'kidding', 'come']",sorry roommate took forever kidding come,6
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,24,"['kidding', 'lar', 'double', 'check', 'district', 'attorney', 'hair', 'dresser', 'already', 'said', 'bye', 'see', 'tomorrow', 'short', 'said', 'see', 'tomorrow', 'look', 'nice']",kidding lar double check district attorney hair dresser already said bye see tomorrow short said see tomorrow look nice,19
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",28,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'mob', 'awarded', 'bonus', 'prize', 'call']",valued customer pleased advise following recent review mob awarded bonus prize call,12
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",23,"['today', 'song', 'dedicated', 'day', 'song', 'dedicate', 'send', 'valuable', 'frnds', 'first', 'rply']",today song dedicated day song dedicate send valuable frnds first rply,11
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",22,"['urgent', 'awarded', 'complimentary', 'experience', 'using', 'hallucinogenic', 'drug', 'eurodisinc', 'trav', 'acoentry', 'claim', 'message', 'say', 'morefrmmob', 'shracomorsglsuplt', 'l', 'aj']",urgent awarded complimentary experience using hallucinogenic drug eurodisinc trav acoentry claim message say morefrmmob shracomorsglsuplt l aj,17
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",15,"['hear', 'new', 'divorce', 'barbie', 'come', 'ken', 'stuff']",hear new divorce barbie come ken stuff,7
ham,I plane to give on this month end.,8,"['plane', 'give', 'month', 'end']",plane give month end,4
ham,Wah lucky man... Then can save money... Hee...,8,"['working', 'home', 'lucky', 'man', 'save', 'money', 'hee']",working home lucky man save money hee,7
ham,Finished class where are you.,5,"['finished', 'cool']",finished cool,2
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,10,"['hello', 'babe', 'home', 'want', 'something', 'kiss']",hello babe home want something kiss,6
ham,K..k:)where are you?how did you performed?,6,"['k', 'k', 'youhow', 'performed']",k k youhow performed,4
ham,U can call me now...,5,['call'],call,1
ham,I am waiting machan. Call me once you free.,9,"['waiting', 'machan', 'call', 'free']",waiting machan call free,4
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,14,"['thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']",thats cool gentleman treat dignity respect,6
ham,I like you peoples very much:) but am very shy pa.,11,"['like', 'people', 'much', 'shy', 'pa']",like people much shy pa,5
ham,Does not operate after  &lt;#&gt;  or what,9,['operate'],operate,1
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,16,"['still', 'looking', 'job', 'much', 'ta', 'earn']",still looking job much ta earn,6
ham,"Sorry, I'll call later",4,"['sorry', 'call', 'later']",sorry call later,3
ham,K. Did you call me just now ah? ,9,"['k', 'call', 'ah']",k call ah,3
ham,Ok i am on the way to home hi hi,10,"['kidding', 'home', 'hello', 'hello']",kidding home hello hello,4
ham,You will be in the place of that man,9,"['place', 'man']",place man,2
ham,Yup next stop.,3,"['yes', 'next', 'stop']",yes next stop,3
ham,"I call you later, don't have network. If urgnt, sms me.",11,"['call', 'later', 'network', 'urgnt', 'short', 'message', 'service']",call later network urgnt short message service,7
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,26,"['real', 'getting', 'yo', 'need', 'ticket', 'one', 'love', 'jacket', 'done', 'already', 'used', 'multis']",real getting yo need ticket one love jacket done already used multis,12
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,31,"['yes', 'started', 'send', 'request', 'make', 'pain', 'came', 'back', 'back', 'bed', 'double', 'coin', 'factory', 'got', 'cash', 'nitros']",yes started send request make pain came back back bed double coin factory got cash nitros,16
ham,I'm really not up to it still tonight babe,9,"['really', 'still', 'tonight', 'babe']",really still tonight babe,4
ham,"Ela kano.,il download, come wen ur free..",7,"['ela', 'kano', 'il', 'download', 'come', 'wen', 'free']",ela kano il download come wen free,7
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,10,"['yeah', 'stand', 'close', 'tho', 'catch', 'something']",yeah stand close tho catch something,6
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,40,"['sorry', 'pain', 'kidding', 'whatever', 'meet', 'another', 'night', 'spent', 'missed', 'period', 'afternoon', 'casualty', 'mean', 'havent', 'finished', 'stuffmoro', 'includes', 'time', 'sheet', 'sorry']",sorry pain kidding whatever meet another night spent missed period afternoon casualty mean havent finished stuffmoro includes time sheet sorry,20
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,26,"['smile', 'pleasure', 'smile', 'pain', 'smile', 'trouble', 'pours', 'like', 'rain', 'smile', 'someone', 'hurt', 'smile', 'becoz', 'someone', 'still', 'love', 'see', 'smiling']",smile pleasure smile pain smile trouble pours like rain smile someone hurt smile becoz someone still love see smiling,19
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,23,"['please', 'call', 'customer', 'service', 'representative', 'ampm', 'guaranteed', 'cash', 'prize']",please call customer service representative ampm guaranteed cash prize,9
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,20,"['havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', 'show', 'ecstasy', 'afternoon', 'finish', 'work', 'already']",havent planning buy later check already lido got show ecstasy afternoon finish work already,14
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",22,"['free', 'sound', 'cell', 'phone', 'make', 'receiving', 'call', 'waiting', 'collected', 'simply', 'text', 'password', 'mix', 'verify', 'get', 'usher', 'britney', 'fml']",free sound cell phone make receiving call waiting collected simply text password mix verify get usher britney fml,18
ham,Watching telugu movie..wat abt u?,5,"['watching', 'telugu', 'movie', 'wat', 'u']",watching telugu movie wat u,5
ham,i see. When we finish we have loads of loans to pay,12,"['see', 'whatever', 'finish', 'whatever', 'load', 'loan', 'pay']",see whatever finish whatever load loan pay,7
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",38,"['hi', 'white', 'knight', 'kidding', 'holiday', 'yes', 'binary', 'digit', 'run', 'forgot', 'hairdresser', 'appointment', 'four', 'need', 'get', 'home', 'shower', 'beforehand', 'probably', 'u', 'ham']",hi white knight kidding holiday yes binary digit run forgot hairdresser appointment four need get home shower beforehand probably u ham,21
ham,Please don't text me anymore. I have nothing else to say.,11,"['please', 'text', 'anymore', 'nothing', 'else', 'say']",please text anymore nothing else say,6
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,21,"['okay', 'name', 'price', 'long', 'legal', 'wen', 'pick', 'ave', 'kiss', 'am', 'kiss']",okay name price long legal wen pick ave kiss am kiss,11
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,16,"['still', 'looking', 'car', 'buy', 'gone', 'driving', 'test', 'yet']",still looking car buy gone driving test yet,8
